Date,^GSPC,^RUT,^DJI,^IXIC,AGG,DBC,^VIX
2016-02-23,1921.27001953125,1012.1500244140625,16431.779296875,4503.580078125,94.10719299316406,12.106301307678223,20.979999542236328
2016-02-24,1929.800048828125,1022.0800170898438,16484.990234375,4542.60986328125,94.14144897460938,12.261759757995605,20.719999313354492
2016-02-25,1951.699951171875,1031.5799560546875,16697.2890625,4582.2001953125,94.38136291503906,12.252042770385742,19.110000610351562
2016-02-26,1948.050048828125,1037.1800537109375,16639.970703125,4590.47021484375,94.20997619628906,12.232611656188965,19.809999465942383
2016-02-29,1932.22998046875,1033.9000244140625,16516.5,4557.9501953125,94.32138061523438,12.388069152832031,20.549999237060547
2016-03-01,1978.3499755859375,1054.489990234375,16865.080078125,4689.60009765625,94.03892517089844,12.397785186767578,17.700000762939453
2016-03-02,1986.449951171875,1065.6700439453125,16899.3203125,4703.419921875,93.93590545654297,12.465798377990723,17.09000015258789
2016-03-03,1993.4000244140625,1076.050048828125,16943.900390625,4707.419921875,94.04752349853516,12.53381061553955,16.700000762939453
2016-03-04,1999.989990234375,1081.9300537109375,17006.76953125,4717.02001953125,93.90159606933594,12.776714324951172,16.860000610351562
2016-03-07,2001.760009765625,1094.1500244140625,17073.94921875,4708.25,93.87581634521484,13.009902000427246,17.350000381469727
2016-03-08,1979.260009765625,1067.8800048828125,16964.099609375,4648.81982421875,94.10762786865234,12.83501148223877,18.670000076293945
2016-03-09,1989.260009765625,1072.77001953125,17000.359375,4674.3798828125,94.0646743774414,13.02933406829834,18.34000015258789
2016-03-10,1989.5699462890625,1063.989990234375,16995.130859375,4662.16015625,94.10762786865234,13.009902000427246,18.049999237060547
2016-03-11,2022.18994140625,1087.56005859375,17213.310546875,4748.47021484375,93.93590545654297,13.05848217010498,16.5
2016-03-14,2019.6400146484375,1084.25,17229.130859375,4750.27978515625,93.98739624023438,12.941888809204102,16.920000076293945
2016-03-15,2015.9300537109375,1066.6700439453125,17251.529296875,4728.669921875,93.90159606933594,12.83501148223877,16.84000015258789
2016-03-16,2027.219970703125,1074.510009765625,17325.759765625,4763.97021484375,94.30508422851562,13.05848217010498,14.989999771118164
2016-03-17,2040.5899658203125,1091.25,17481.490234375,4774.990234375,94.5025405883789,13.204224586486816,14.4399995803833
2016-03-18,2049.580078125,1101.6700439453125,17602.30078125,4795.64990234375,94.57979583740234,13.19450855255127,14.020000457763672
2016-03-21,2051.60009765625,1098.5799560546875,17623.869140625,4808.8701171875,94.37377166748047,13.233372688293457,13.789999961853027
2016-03-22,2049.800048828125,1097.3399658203125,17582.5703125,4821.66015625,94.31371307373047,13.330533981323242,14.170000076293945
2016-03-23,2036.7099609375,1075.699951171875,17502.58984375,4768.85986328125,94.51972961425781,13.04876708984375,14.9399995803833
